fips,total_pop_age_sex,median_age,sex_ratio_males,under_18_percent,over_18_percent,over_65_percent,county,state,total_hh,median_hh_income,mean_hh_income,total_families,median_family_income,mean_family_income,tot_pop_race_ethnicity,tot_white,tot_black_af_am,tot_aminalnat,tot_asian,tot_hawopi,total_pop_poverty,pop_below_poverty,percent_below_poverty,smoking_ban_2010,asian_2019,avg_family_size_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_limited_english_2019,housing_mobile_homes_2019,hs_grad_2019,median_household_income_2019,median_individual_income_2019,native_2019,other_single_race_2019,pac_isl_2019,persons_per_household_2019,pop_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,rural_urban_continuum_code_2013,Metro2013,retirement_destination_2015_update,metro_adjacent_2013,average_2011_upper_bound_pct_obesity,FIPS,heart_disease_prev_100K
48407,28180.0,44.9,95.9,22.1,77.9,22.1,San Jacinto County, Texas,10043.0,41614.0,60411.0,6680.0,54384.0,73069.0,28180.0,24134.0,2598.0,218.0,9.0,10.0,27895.0,4238.0,15.2,none,0.0,3.5,9.2,13.1,73.6,66.2,76.0,10043.0,0.7,19.4,84.5,41614.0,22614.0,0.8,1.8,0.0,2.79,28180.0,6.4,19.5,9.3,85.6,74.7,8.0,0.0,0.0,1.0,47.16,48407,58.24415471080955
48409,67008.0,35.5,101.6,27.0,73.0,14.6,San Patricio County, Texas,22898.0,56556.0,74270.0,16848.0,63337.0,82424.0,67008.0,61845.0,1171.0,211.0,676.0,44.0,66137.0,10516.0,15.9,none,1.0,3.42,1.7,57.8,72.2,67.5,79.9,22898.0,4.4,31.7,79.9,56556.0,26180.0,0.3,2.2,0.1,2.89,67008.0,4.8,16.8,8.8,92.3,38.4,2.0,1.0,0.0,0.0,46.505,48409,62.14449344732279
48411,5991.0,42.4,105.6,20.8,79.2,23.1,San Saba County, Texas,2082.0,45083.0,64486.0,1329.0,58582.0,71987.0,5991.0,5101.0,121.0,0.0,9.0,0.0,5308.0,742.0,14.0,none,0.2,3.28,2.0,30.1,75.9,61.9,71.4,2082.0,7.2,31.6,74.8,45083.0,23253.0,0.0,7.8,0.0,2.54,5991.0,1.8,18.6,8.2,85.1,64.2,7.0,0.0,0.0,0.0,41.84,48411,59.22917092304498
48413,2983.0,36.2,101.8,26.4,73.6,18.8,Schleicher County, Texas,1075.0,53229.0,61890.0,669.0,66975.0,72099.0,2983.0,1853.0,16.0,0.0,0.0,11.0,2983.0,467.0,15.7,none,0.0,3.65,0.5,53.0,64.6,68.4,73.9,1075.0,7.8,21.1,79.6,53229.0,26524.0,0.0,36.8,0.4,2.77,2983.0,11.6,21.6,3.2,62.1,46.1,8.0,0.0,0.0,1.0,43.13,48413,55.2335705364432
48415,17096.0,36.4,118.6,25.1,74.9,15.1,Scurry County, Texas,5941.0,54326.0,69818.0,4004.0,67450.0,80722.0,17096.0,14721.0,792.0,39.0,51.0,0.0,15087.0,2173.0,14.4,none,0.3,3.13,4.6,40.4,73.5,63.8,79.1,5941.0,2.2,24.8,78.7,54326.0,27681.0,0.2,5.9,0.0,2.55,17096.0,3.1,18.9,6.2,86.1,52.8,7.0,0.0,0.0,0.0,43.465,48415,54.82681995767245
48417,3296.0,43.0,113.2,23.4,76.6,19.2,Shackelford County, Texas,1317.0,46935.0,60781.0,870.0,55500.0,71794.0,3296.0,3158.0,7.0,11.0,8.0,0.0,3270.0,436.0,13.3,none,0.2,3.06,0.2,11.5,77.6,65.5,76.8,1317.0,0.2,20.4,86.4,46935.0,26200.0,0.3,0.9,0.0,2.48,3296.0,5.4,12.8,9.1,95.8,85.4,8.0,0.0,0.0,1.0,43.36,48417,68.57308982657462
48419,25349.0,38.0,98.6,26.2,73.8,17.4,Shelby County, Texas,9293.0,42522.0,57887.0,6756.0,49894.0,65621.0,25349.0,19732.0,4847.0,242.0,114.0,0.0,25111.0,5685.0,22.6,comprehensive,0.4,3.24,19.1,18.3,68.7,56.5,70.2,9293.0,4.3,26.4,76.4,42522.0,22658.0,1.0,1.1,0.0,2.71,25349.0,7.9,21.7,6.1,77.8,61.6,7.0,0.0,0.0,0.0,48.725,48419,77.33770896637506
48421,3059.0,40.1,109.1,22.6,77.4,13.3,Sherman County, Texas,1019.0,51926.0,82530.0,754.0,63194.0,94957.0,3059.0,2702.0,37.0,12.0,0.0,0.0,3022.0,448.0,14.8,none,0.0,3.47,1.2,44.6,76.8,62.4,75.1,1019.0,7.6,27.4,79.0,51926.0,28307.0,0.4,5.8,0.0,2.97,3059.0,1.0,20.6,6.3,88.3,53.4,9.0,0.0,0.0,0.0,45.23,48421,62.07913440812285
48423,227449.0,36.6,93.3,24.6,75.4,16.2,Smith County, Texas,77678.0,56810.0,77878.0,53919.0,69572.0,90997.0,227449.0,174650.0,39690.0,795.0,3868.0,212.0,222154.0,34116.0,15.4,none,1.7,3.44,17.5,19.5,80.7,64.8,82.3,77678.0,3.9,33.6,85.8,56810.0,27384.0,0.3,1.8,0.1,2.86,227449.0,5.2,16.3,6.9,76.8,59.7,3.0,1.0,0.0,0.0,39.25,48423,62.00130442668539
48425,8860.0,41.0,100.8,22.5,77.5,18.3,Somervell County, Texas,3123.0,60632.0,79424.0,2545.0,64464.0,86331.0,8860.0,7865.0,105.0,115.0,24.0,68.0,8623.0,2017.0,23.4,none,0.3,2.97,1.2,18.6,77.6,79.7,79.3,3123.0,1.3,19.7,89.6,60632.0,30157.0,1.3,7.6,0.8,2.73,8860.0,4.6,13.6,6.9,88.8,79.1,1.0,1.0,1.0,0.0,40.655,48425,57.2854004798338
