"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US48359","Oldham County, Texas","2094","*****","1928","36","66","31","1","3","39","30","0","14","1","2","59","33","0","14","59","33"
"0500000US48361","Orange County, Texas","84069","*****","73496","215","7327","182","283","147","1022","204","0","32","561","184","1380","304","111","153","1269","275"
"0500000US48363","Palo Pinto County, Texas","28540","*****","26133","439","715","92","198","112","226","59","29","29","794","433","445","177","126","80","319","137"
"0500000US48365","Panola County, Texas","23327","*****","18899","148","4032","108","36","39","57","68","0","25","158","127","145","87","13","15","132","86"
"0500000US48367","Parker County, Texas","133811","*****","124714","936","1781","358","1253","469","757","170","79","27","2027","585","3200","642","550","461","2650","449"
"0500000US48369","Parmer County, Texas","9718","*****","8409","365","116","72","35","33","42","49","28","49","570","265","518","228","211","109","307","193"
"0500000US48371","Pecos County, Texas","15815","*****","13059","474","556","133","174","88","96","73","24","25","1675","462","231","126","104","92","127","92"
"0500000US48373","Polk County, Texas","48913","*****","41071","343","4794","257","797","135","378","45","70","78","813","318","990","282","32","46","958","271"
"0500000US48375","Potter County, Texas","119674","*****","93546","694","12048","468","761","265","6469","238","258","268","2983","593","3609","493","616","159","2993","499"
"0500000US48377","Presidio County, Texas","6975","*****","6561","259","0","19","204","205","94","114","0","19","116","102","0","19","0","19","0","19"
"0500000US48379","Rains County, Texas","11766","*****","10505","211","415","102","65","77","42","44","0","21","595","211","144","70","28","24","116","72"
"0500000US48381","Randall County, Texas","134026","*****","118890","790","3678","425","712","215","2589","383","387","158","3229","619","4541","694","962","403","3579","533"
"0500000US48383","Reagan County, Texas","3766","*****","1719","280","32","36","0","14","6","11","0","14","1944","288","65","45","43","43","22","20"
