fips,percent_below_poverty,smoking_ban_2010,unemployment_rate_2019,average_2011_upper_bound_pct_obesity,rural_urban_continuum_code_2013,labels_small
37113,15.4,none,4.0,38.325,7.0,3
37115,16.4,comprehensive,4.7,41.81,2.0,0
37117,19.7,none,9.7,52.53,6.0,1
37119,11.6,none,4.3,35.974999999999994,1.0,3
37121,13.0,comprehensive,3.3,41.455,7.0,0
37123,17.7,none,3.8,46.715,6.0,3
37125,11.3,none,4.4,38.42,4.0,3
37127,15.2,none,6.1,46.47,3.0,3
37129,16.0,none,4.5,36.370000000000005,2.0,3
37131,20.7,none,5.7,53.495000000000005,9.0,1
37133,13.2,none,8.1,40.755,3.0,3
37135,13.7,none,3.6,27.57,2.0,3
37137,12.6,none,4.5,46.125,3.0,3
37139,15.7,none,6.9,48.275000000000006,4.0,1
37141,14.1,none,6.8,45.075,2.0,3
37143,15.1,none,5.8,45.265,8.0,3
37145,16.1,none,5.9,49.095,2.0,3
37147,22.9,none,7.2,44.755,3.0,1
37149,9.8,none,5.2,34.584999999999994,8.0,3
37151,15.2,none,4.1,40.05,2.0,3
37153,25.2,comprehensive,9.1,46.53,5.0,1
37155,27.7,none,6.4,51.44,4.0,1
37157,18.1,none,5.8,46.52,2.0,3
37159,15.9,none,6.5,42.575,1.0,3
37161,17.9,none,5.7,41.255,4.0,3
37163,20.9,none,6.7,51.375,6.0,1
37165,27.3,none,11.3,48.695,6.0,1
37167,12.9,none,5.3,41.985,6.0,3
37169,13.8,none,5.9,42.88,2.0,3
37171,16.4,none,3.6,44.17,4.0,3
37173,17.5,none,6.6,43.565,8.0,1
37175,14.3,none,5.6,35.54,6.0,3
37177,22.5,none,5.8,51.425,9.0,1
37179,8.2,none,4.1,38.795,1.0,3
37181,20.8,none,7.0,52.6,4.0,1
37183,9.1,none,3.6,34.965,1.0,3
37185,19.8,none,8.1,53.445,8.0,1
37187,22.3,none,7.2,52.28,7.0,1
37189,25.3,none,4.5,35.315,5.0,3
37191,20.2,none,5.9,44.89,3.0,3
37193,17.7,none,4.9,42.245000000000005,6.0,3
